step,a,k,Pk
0,0.236667,8.885766e-02,1.058737e+01
0,0.236667,1.088280e-01,9.414624e+00
0,0.236667,1.256637e-01,6.811659e+00
0,0.236667,1.472011e-01,4.705797e+00
0,0.236667,1.854155e-01,4.380191e+00
0,0.236667,2.118531e-01,3.785127e+00
0,0.236667,2.523490e-01,4.233572e+00
0,0.236667,2.888755e-01,2.893635e+00
0,0.236667,3.397697e-01,2.483840e+00
0,0.236667,4.011974e-01,2.367625e+00
0,0.236667,4.720171e-01,2.519861e+00
0,0.236667,5.574837e-01,2.499193e+00
0,0.236667,6.526817e-01,2.225460e+00
0,0.236667,7.647137e-01,2.296056e+00
0,0.236667,9.010922e-01,2.306691e+00
0,0.236667,1.058149e+00,2.377435e+00
0,0.236667,1.241785e+00,2.449499e+00
0,0.236667,1.458089e+00,2.415606e+00
0,0.236667,1.713080e+00,2.364600e+00
0,0.236667,2.011647e+00,2.036910e+00
0,0.236667,2.362211e+00,1.634698e+00
0,0.236667,2.774575e+00,1.100266e+00
0,0.236667,3.258647e+00,6.508617e-01
0,0.236667,3.828133e+00,4.078211e-01
0,0.236667,4.484124e+00,2.993281e-01
0,0.236667,5.229908e+00,8.435379e-02
1,0.453333,8.885766e-02,3.902718e+01
1,0.453333,1.088280e-01,3.466110e+01
1,0.453333,1.256637e-01,2.528990e+01
1,0.453333,1.472011e-01,1.784768e+01
1,0.453333,1.854155e-01,1.683996e+01
1,0.453333,2.118531e-01,1.440485e+01
1,0.453333,2.523490e-01,1.620792e+01
1,0.453333,2.888755e-01,1.141217e+01
1,0.453333,3.397697e-01,9.931455e+00
1,0.453333,4.011974e-01,9.422159e+00
1,0.453333,4.720171e-01,9.802887e+00
1,0.453333,5.574837e-01,9.722043e+00
1,0.453333,6.526817e-01,8.646845e+00
1,0.453333,7.647137e-01,8.675344e+00
1,0.453333,9.010922e-01,8.435248e+00
1,0.453333,1.058149e+00,8.360349e+00
1,0.453333,1.241785e+00,8.077218e+00
1,0.453333,1.458089e+00,7.582474e+00
1,0.453333,1.713080e+00,6.903815e+00
1,0.453333,2.011647e+00,5.677252e+00
1,0.453333,2.362211e+00,4.555900e+00
1,0.453333,2.774575e+00,3.464646e+00
1,0.453333,3.258647e+00,2.643045e+00
1,0.453333,3.828133e+00,2.005817e+00
1,0.453333,4.484124e+00,1.554780e+00
1,0.453333,5.229908e+00,1.014597e+00
1,0.453333,6.062341e+00,6.794560e-01
1,0.453333,6.950905e+00,4.192747e-01
2,0.670000,8.885766e-02,8.192014e+01
2,0.670000,1.088280e-01,7.256752e+01
2,0.670000,1.256637e-01,5.302327e+01
2,0.670000,1.472011e-01,3.770537e+01
2,0.670000,1.854155e-01,3.588173e+01
2,0.670000,2.118531e-01,3.021743e+01
2,0.670000,2.523490e-01,3.430806e+01
2,0.670000,2.888755e-01,2.441885e+01
2,0.670000,3.397697e-01,2.131492e+01
2,0.670000,4.011974e-01,2.004253e+01
2,0.670000,4.720171e-01,2.051222e+01
2,0.670000,5.574837e-01,2.025148e+01
2,0.670000,6.526817e-01,1.790824e+01
2,0.670000,7.647137e-01,1.764488e+01
2,0.670000,9.010922e-01,1.662619e+01
2,0.670000,1.058149e+00,1.599887e+01
2,0.670000,1.241785e+00,1.488713e+01
2,0.670000,1.458089e+00,1.350301e+01
2,0.670000,1.713080e+00,1.186534e+01
2,0.670000,2.011647e+00,9.823974e+00
2,0.670000,2.362211e+00,8.115653e+00
2,0.670000,2.774575e+00,6.463564e+00
2,0.670000,3.258647e+00,5.096057e+00
2,0.670000,3.828133e+00,3.872376e+00
2,0.670000,4.484124e+00,2.991234e+00
2,0.670000,5.229908e+00,2.022413e+00
2,0.670000,6.062341e+00,1.367265e+00
2,0.670000,6.950905e+00,8.856687e-01
